Country,Age,Gender,OccupationDescription,Salary,Industry,WorkRemote,EnjoyWorkRemote,WhereWorkRemote,WeeklyWorkHours
France,40-50,1,Back-End Web Developer,"$40,000 - $60,000",Government,Never,,,40
United States,30-34,1,Desktop Software Developer,"$80,000 - $100,000",Software Products,Never,,,58
Netherlands,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,97
China,25-29,1,Back-End Web Developer,Rather not say,Web Services,Full-time Remote,I love it,A home office,33
United Kingdom,51-60,1,Other,"$60,000 - $80,000",Other,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,66
France,30-34,1,Enterprise Level Services,"$60,000 - $80,000",Finance / Banking,Never,,,52
United States,30-34,0,Other,"$60,000 - $80,000",Other,Never,,,46
United Kingdom,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Never,,,18
Lithuania,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,72
Russia,20-24,1,Embedded Application Developer,"$20,000 - $40,000",Software Products,Never,,,44
Canada,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,57
Canada,25-29,1,Student,"$20,000 - $40,000",Student,Occasionally,I love it,A home office,35
United Kingdom,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Healthcare,Never,,,32
Czech Republic,25-29,1,DevOps,,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Germany,< 20,1,Mobile Application Developer,Student / Unemployed,Student,Occasionally,I love it,A home office,92
United States,51-60,1,Full-Stack Web Developer,"$60,000 - $80,000",Other,Never,,,33
India,20-24,1,Student,,Student,Never,,,0
India,25-29,1,Student,Student / Unemployed,Student,Full-time Remote,It's not my preference. I'd prefer to be in an office,Other,92
Germany,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Netherlands,51-60,0,Enterprise Level Services,"$60,000 - $80,000",Software Products,Occasionally,I'm neutral about it,A home office,37
Switzerland,25-29,1,Desktop Software Developer,"$100,000 - $120,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,53
Poland,,,,,,,,,0
United States,30-34,1,Full-Stack Web Developer,"$100,000 - $120,000",Retail,Part-time Remote,I love it,A home office,52
United States,< 20,NA,Student,Student / Unemployed,Student,Never,,,31
United States,51-60,1,Desktop Software Developer,"$100,000 - $120,000",Software Products,Occasionally,I'm neutral about it,My couch,57
United Kingdom,25-29,1,Desktop Software Developer,Rather not say,Manufacturing,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
Argentina,40-50,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,My couch,49
Germany,25-29,1,Student,"<$20,000",Student,Never,,,20
United Kingdom,20-24,1,Full-Stack Web Developer,Rather not say,Other,Never,,,0
Germany,30-34,1,Front-End Web Developer,"$60,000 - $80,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,50
United Kingdom,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Never,,,57
United States,40-50,1,Mobile Application Developer,"$100,000 - $120,000",Software Products,Occasionally,I love it,A home office,43
Kenya,30-34,1,Enterprise Level Services,"<$20,000",Software Products,Never,,,49
United States,35-39,1,DevOps,,Other,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,47
United Kingdom,40-50,1,Manager of Developers or Team Leader,"$40,000 - $60,000",Other,Part-time Remote,I love it,A home office,72
United States,40-50,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,76
Malaysia,30-34,1,I don't work in tech,Student / Unemployed,Not Currently Employed,Occasionally,"I like it, though I like visiting the office occasionally",A home office,17
Turkey,25-29,1,Front-End Web Developer,"$20,000 - $40,000",Other,Never,,,67
Czech Republic,25-29,1,Back-End Web Developer,"<$20,000",Retail,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,23
Canada,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Other,Occasionally,I'm neutral about it,A home office,62
United Kingdom,40-50,1,Enterprise Level Services,,Retail,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,29
Germany,40-50,1,Manager of Developers or Team Leader,"$120,000 - $140,000",Healthcare,Occasionally,I'm neutral about it,A home office,76
United Kingdom,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Full-time Remote,I love it,A home office,46
Spain,30-34,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,70
France,40-50,1,Full-Stack Web Developer,"$60,000 - $80,000",Finance / Banking,Never,,,57
France,25-29,1,Front-End Web Developer,"$40,000 - $60,000",Web Services,Full-time Remote,I'm neutral about it,A home office,43
United Kingdom,20-24,1,Back-End Web Developer,"$40,000 - $60,000",Web Services,Never,,,49
Algeria,< 20,NA,Other,Student / Unemployed,Other,Never,,,0
United Kingdom,40-50,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Occasionally,I love it,A co-working space,62
Poland,25-29,1,Back-End Web Developer,"$20,000 - $40,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A co-working space,120
Belgium,20-24,1,Back-End Web Developer,"$20,000 - $40,000",Advertising,Never,,,25
France,20-24,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A co-working space,54
Argentina,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Full-time Remote,I love it,A home office,47
Poland,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Never,,,0
United Kingdom,40-50,1,Back-End Web Developer,"$40,000 - $60,000",Finance / Banking,Never,,,45
Germany,40-50,1,Full-Stack Web Developer,,Other,Occasionally,I'm neutral about it,My couch,43
Netherlands,< 20,1,Student,Student / Unemployed,Education,Full-time Remote,I love it,A home office,47
United Kingdom,30-34,1,Enterprise Level Services,Rather not say,Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,42
India,20-24,1,Front-End Web Developer,"<$20,000",Web Services,Occasionally,I love it,A home office,75
United Kingdom,20-24,1,Back-End Web Developer,"$60,000 - $80,000",Retail,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,40
United States,20-24,1,Full-Stack Web Developer,"$40,000 - $60,000",Healthcare,Never,,,46
Ireland,< 20,1,I don't work in tech,Student / Unemployed,Not Currently Employed,Never,,,0
Spain,40-50,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Never,,,21
Estonia,20-24,1,Student,Student / Unemployed,Student,Never,,,0
United States,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Other,Occasionally,I'm neutral about it,A home office,64
Italy,20-24,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,0
India,25-29,1,Desktop Software Developer,,Software Products,Occasionally,I'm neutral about it,A home office,0
United Kingdom,35-39,1,Full-Stack Web Developer,">$140,000",Education,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,45
United States,35-39,1,Enterprise Level Services,"$120,000 - $140,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,19
United Kingdom,40-50,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Manufacturing,Never,,,61
Turkey,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A coffee shop,114
India,20-24,1,Mobile Application Developer,"<$20,000",Consulting,Never,,,54
Austria,30-34,1,Desktop Software Developer,"$40,000 - $60,000",Education,Occasionally,I'm neutral about it,A home office,57
Austria,30-34,1,Student,"$20,000 - $40,000",Education,Occasionally,"I like it, though I like visiting the office occasionally",A home office,37
Poland,30-34,1,Desktop Software Developer,"$20,000 - $40,000",Manufacturing,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,36
India,20-24,1,Database Administrator,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,27
Netherlands,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Education,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,32
Italy,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",My couch,77
Sweden,25-29,1,Desktop Software Developer,"$20,000 - $40,000",Retail,Occasionally,I'm neutral about it,A home office,37
Israel,20-24,1,Other,Student / Unemployed,Not Currently Employed,Never,,,18
United Kingdom,35-39,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,42
Netherlands,25-29,1,Full-Stack Web Developer,,Retail,Never,,,79
Germany,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Manufacturing,Never,,,34
France,20-24,1,Student,Student / Unemployed,Student,Never,,,60
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I love it,A home office,59
United Kingdom,25-29,1,Other,"$60,000 - $80,000",Finance / Banking,Never,,,17
Slovakia,,,,,,,,,0
France,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Other,Never,,,82
Ukraine,30-34,0,Back-End Web Developer,,Finance / Banking,Never,,,41
Germany,30-34,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Occasionally,I'm neutral about it,A home office,54
Germany,25-29,1,Student,Student / Unemployed,Student,Never,,,40
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I love it,A home office,0
Canada,20-24,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,0
Russia,20-24,1,Desktop Software Developer,Rather not say,Software Products,Never,,,64
Australia,25-29,1,IT Staff / System Administrator,"$20,000 - $40,000",Other,Never,,,0
Norway,20-24,1,Student,Student / Unemployed,Student,Part-time Remote,"I like it, though I like visiting the office occasionally",Other,37
Belgium,20-24,1,Full-Stack Web Developer,"$40,000 - $60,000",Finance / Banking,Never,,,34
United Kingdom,35-39,1,Back-End Web Developer,">$140,000",Consulting,Occasionally,I'm neutral about it,A home office,47
Germany,< 20,1,Back-End Web Developer,"<$20,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,31
United Kingdom,30-34,1,Full-Stack Web Developer,Rather not say,Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
Germany,25-29,1,Back-End Web Developer,"$60,000 - $80,000",Consulting,Occasionally,I'm neutral about it,Other,51
Sweden,25-29,1,Other,Student / Unemployed,Not Currently Employed,Never,,,79
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Full-time Remote,I'm neutral about it,A co-working space,32
Denmark,30-34,1,Embedded Application Developer,"$80,000 - $100,000",Manufacturing,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,61
Iran,20-24,1,Student,Student / Unemployed,Student,Never,,,32
Argentina,,,,,,,,,0
Switzerland,35-39,1,Embedded Application Developer,"$120,000 - $140,000",Retail,Never,,,25
India,25-29,1,Mobile Application Developer,"<$20,000",Software Products,Full-time Remote,I love it,My couch,31
Chile,30-34,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Never,,,12
United Kingdom,25-29,1,Other,"$120,000 - $140,000",Software Products,Occasionally,I love it,My couch,42
Bangladesh,25-29,NA,Desktop Software Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,A home office,43
Pakistan,25-29,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,I love it,A home office,41
United Kingdom,51-60,1,I don't work in tech,Student / Unemployed,Not Currently Employed,Never,,,30
Turkey,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Part-time Remote,I'm neutral about it,My couch,28
Russia,20-24,1,Full-Stack Web Developer,"<$20,000",Other,Occasionally,I'm neutral about it,A home office,50
India,20-24,1,Back-End Web Developer,Rather not say,Web Services,Full-time Remote,I'm neutral about it,A home office,29
Canada,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,41
Italy,35-39,1,Full-Stack Web Developer,"$60,000 - $80,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,51
Germany,< 20,1,Mobile Application Developer,Rather not say,Student,Full-time Remote,I love it,A home office,39
United Kingdom,25-29,1,Enterprise Level Services,"$100,000 - $120,000",Finance / Banking,Never,,,51
United Kingdom,35-39,1,Other,"$80,000 - $100,000",,,,,0
India,25-29,1,Back-End Web Developer,Rather not say,Consulting,Occasionally,I love it,My couch,0
Germany,30-34,1,Desktop Software Developer,"$60,000 - $80,000",Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,59
Turkey,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,42
India,25-29,1,Embedded Application Developer,"<$20,000",Consulting,Never,,,97
Iceland,20-24,1,Desktop Software Developer,Rather not say,Gaming,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,54
United States,30-34,1,I don't work in tech,Rather not say,Manufacturing,Never,,,20
Belgium,30-34,1,Desktop Software Developer,"$20,000 - $40,000",Other,Occasionally,I love it,A home office,0
United Kingdom,25-29,1,Back-End Web Developer,"$20,000 - $40,000",Gaming,Occasionally,I'm neutral about it,My couch,36
Italy,30-34,1,Other,Rather not say,Other,Occasionally,I love it,My couch,22
Denmark,35-39,1,Full-Stack Web Developer,Rather not say,Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,46
United Kingdom,40-50,1,Manager of Developers or Team Leader,">$140,000",Finance / Banking,Occasionally,I'm neutral about it,A home office,29
Brazil,< 20,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,45
Italy,20-24,1,Full-Stack Web Developer,Rather not say,Web Services,Never,,,64
Germany,25-29,1,Desktop Software Developer,"<$20,000",Software Products,Never,,,49
Russia,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",,,,,0
United States,40-50,1,Full-Stack Web Developer,"$20,000 - $40,000",Other,Never,,,32
Spain,25-29,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,41
Germany,30-34,1,Back-End Web Developer,"$40,000 - $60,000",Education,Never,,,71
United States,35-39,1,Full-Stack Web Developer,">$140,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",My couch,70
Germany,25-29,1,Desktop Software Developer,"$60,000 - $80,000",Software Products,Never,,,55
India,30-34,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,20
United Kingdom,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)",">$140,000",Other,Part-time Remote,I love it,A home office,42
Australia,25-29,1,Desktop Software Developer,"$20,000 - $40,000",Software Products,Part-time Remote,I'm neutral about it,A co-working space,34
Poland,20-24,1,Student,Student / Unemployed,Student,Full-time Remote,I'm neutral about it,My couch,34
Bangladesh,30-34,1,Manager of Developers or Team Leader,"<$20,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,61
Netherlands,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Manufacturing,Never,,,47
Germany,20-24,1,Desktop Software Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,38
Greece,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Full-time Remote,I love it,A home office,48
Germany,25-29,1,Enterprise Level Services,"$40,000 - $60,000",Other,Occasionally,I'm neutral about it,A home office,59
Ukraine,,,,,,,,,0
Sweden,25-29,1,Mobile Application Developer,"$60,000 - $80,000",Advertising,Occasionally,"I like it, though I like visiting the office occasionally",A home office,29
Germany,30-34,1,IT Staff / System Administrator,"$20,000 - $40,000",Foundation / Non-Profit,Never,,,31
Spain,25-29,1,Enterprise Level Services,"$40,000 - $60,000",Finance / Banking,Never,,,40
India,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,16
Brazil,40-50,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,55
Germany,25-29,1,I don't work in tech,"<$20,000",Other,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Sweden,35-39,1,Full-Stack Web Developer,"$40,000 - $60,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,35
United Kingdom,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Finance / Banking,Never,,,57
India,,,,,,,,,0
United States,51-60,1,Full-Stack Web Developer,">$140,000",Finance / Banking,Part-time Remote,I'm neutral about it,A home office,44
Luxembourg,30-34,1,Full-Stack Web Developer,,Education,Occasionally,I'm neutral about it,A home office,51
Austria,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Finance / Banking,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,24
Germany,30-34,1,Full-Stack Web Developer,"$120,000 - $140,000",Consulting,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,67
Germany,20-24,NA,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,My couch,0
United Kingdom,35-39,1,Full-Stack Web Developer,Rather not say,Education,Never,,,85
Denmark,20-24,1,Student,,Software Products,Occasionally,I'm neutral about it,A home office,0
France,25-29,1,DevOps,"$20,000 - $40,000",Gaming,Occasionally,"I like it, though I like visiting the office occasionally",A home office,25
Ireland,20-24,1,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,A home office,47
India,,,,,,,,,0
Austria,30-34,1,Other,"$20,000 - $40,000",Government,Never,,,49
Ireland,,,,,,,,,0
India,25-29,1,Full-Stack Web Developer,Rather not say,Finance / Banking,Occasionally,I'm neutral about it,A home office,42
Netherlands,20-24,1,Student,Student / Unemployed,Software Products,Never,,,110
India,20-24,1,Full-Stack Web Developer,"<$20,000",Consulting,Never,,,22
United Kingdom,25-29,1,Back-End Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,80
Spain,20-24,0,Student,"<$20,000",Consulting,Never,,,52
Poland,25-29,1,Back-End Web Developer,Rather not say,Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
India,25-29,NA,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,16
United Kingdom,40-50,1,Other,,Not Currently Employed,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,29
Romania,25-29,1,Desktop Software Developer,Rather not say,Software Products,Part-time Remote,I love it,My couch,49
India,20-24,0,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,0
Germany,< 20,1,Back-End Web Developer,,Software Products,Never,,,42
Germany,51-60,1,Back-End Web Developer,">$140,000",Manufacturing,Never,,,32
South Africa,40-50,1,Other,"$40,000 - $60,000",Gaming,Never,,,31
India,20-24,1,Back-End Web Developer,"$40,000 - $60,000",Software Products,Occasionally,I'm neutral about it,A home office,82
Ukraine,25-29,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Never,,,46
India,25-29,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,140
Switzerland,25-29,1,Mobile Application Developer,"$60,000 - $80,000",Web Services,Occasionally,I'm neutral about it,A home office,28
Germany,20-24,1,Student,Student / Unemployed,Software Products,Never,,,0
Brazil,< 20,1,Student,"<$20,000",Manufacturing,Never,,,11
China,20-24,1,Full-Stack Web Developer,Student / Unemployed,Software Products,Occasionally,I'm neutral about it,Other,0
Uruguay,< 20,0,Mobile Application Developer,"<$20,000",Software Products,Never,,,26
Philippines,< 20,1,"Executive (VP of Eng, CTO, CIO, etc.)",Student / Unemployed,,,,,0
Norway,30-34,1,Desktop Software Developer,"$80,000 - $100,000",Gaming,Occasionally,I'm neutral about it,A home office,54
India,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Russia,< 20,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",Other,47
Turkey,25-29,1,Desktop Software Developer,"<$20,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,38
India,20-24,1,Student,"<$20,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",Other,69
India,25-29,1,Full-Stack Web Developer,"<$20,000",Education,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,16
Brazil,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Education,Never,,,46
Egypt,25-29,1,Desktop Software Developer,"<$20,000",Software Products,Never,,,16
Finland,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Never,,,41
United Kingdom,40-50,1,DevOps,">$140,000",Consulting,Occasionally,I'm neutral about it,A home office,44
Serbia,25-29,1,Other,Rather not say,Finance / Banking,Never,,,0
Pakistan,30-34,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,21
India,20-24,1,"Executive (VP of Eng, CTO, CIO, etc.)",Rather not say,Consulting,Never,,,62
Germany,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Full-time Remote,I'm neutral about it,A home office,48
Nepal,20-24,1,Front-End Web Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,23
Spain,25-29,1,Mobile Application Developer,"<$20,000",Consulting,Occasionally,I'm neutral about it,A co-working space,46
Russia,25-29,1,Manager of Developers or Team Leader,"$40,000 - $60,000",Software Products,Never,,,54
Russia,25-29,1,Database Administrator,"<$20,000",Software Products,Never,,,44
India,,,,,,,,,0
Turkey,25-29,1,Back-End Web Developer,"$20,000 - $40,000",Finance / Banking,Occasionally,I love it,A home office,30
Ireland,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,60
Argentina,20-24,1,IT Staff / System Administrator,"<$20,000",Retail,Occasionally,I love it,A home office,36
Bangladesh,25-29,1,Manager of Developers or Team Leader,"<$20,000",Finance / Banking,Occasionally,I'm neutral about it,A co-working space,67
United Kingdom,25-29,1,Back-End Web Developer,Rather not say,Finance / Banking,Occasionally,I love it,A home office,28
India,20-24,1,Enterprise Level Services,"<$20,000",Consulting,Occasionally,I hate it,A home office,59
Denmark,25-29,1,Desktop Software Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,35
Germany,40-50,1,Manager of Developers or Team Leader,,Retail,Never,,,47
Brazil,25-29,1,Other,"$20,000 - $40,000",Government,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,62
Sweden,20-24,1,Other,"$40,000 - $60,000",Other,Never,,,43
Germany,40-50,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Never,,,58
Sweden,< 20,NA,"Executive (VP of Eng, CTO, CIO, etc.)",">$140,000",Other,Never,,,54
Germany,,,,,,,,,0
India,25-29,1,Full-Stack Web Developer,Rather not say,Software Products,Never,,,0
Germany,< 20,1,Desktop Software Developer,Student / Unemployed,Student,Never,,,31
United Kingdom,30-34,0,Other,Rather not say,Software Products,Part-time Remote,I love it,A home office,23
India,20-24,0,Mobile Application Developer,Rather not say,Software Products,Never,"I like it, though I like visiting the office occasionally",A home office,16
India,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,I love it,My couch,16
Germany,< 20,1,Student,Student / Unemployed,Student,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
Germany,25-29,1,Front-End Web Developer,Student / Unemployed,Student,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,46
United Kingdom,20-24,1,Desktop Software Developer,"$20,000 - $40,000",Software Products,Never,,,54
United Kingdom,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Consulting,Full-time Remote,I love it,A home office,59
India,20-24,1,Manager of Developers or Team Leader,"<$20,000",Web Services,Full-time Remote,I love it,A co-working space,49
Italy,25-29,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Never,,,52
Slovenia,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Education,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,24
Turkey,25-29,1,Manager of Developers or Team Leader,Rather not say,Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",My couch,60
India,25-29,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,12
Russia,20-24,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Never,,,72
Russia,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,Other,65
Slovenia,30-34,1,Full-Stack Web Developer,,Retail,Never,,,28
Czech Republic,25-29,1,Back-End Web Developer,Rather not say,Other,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Hungary,20-24,1,Back-End Web Developer,Rather not say,Software Products,Occasionally,I love it,My couch,42
United Kingdom,< 20,1,Desktop Software Developer,Rather not say,Foundation / Non-Profit,Part-time Remote,I love it,My couch,41
Ukraine,20-24,1,Database Administrator,"<$20,000",Retail,Never,,,20
United Kingdom,25-29,1,Back-End Web Developer,,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,46
India,20-24,1,Front-End Web Developer,"<$20,000",Manufacturing,Occasionally,I love it,A home office,125
India,20-24,1,Desktop Software Developer,Student / Unemployed,Software Products,Occasionally,I love it,A home office,72
United Kingdom,40-50,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Manufacturing,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
India,20-24,1,Full-Stack Web Developer,"<$20,000",Web Services,Never,,,16
Austria,20-24,1,Student,Student / Unemployed,Student,Never,,,0
Romania,20-24,1,Student,"<$20,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,71
United Kingdom,40-50,1,Manager of Developers or Team Leader,">$140,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Pakistan,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Part-time Remote,I love it,My couch,100
Poland,25-29,1,Other,"<$20,000",Education,Occasionally,I'm neutral about it,My couch,72
United Kingdom,35-39,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Never,,,47
Egypt,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Web Services,Full-time Remote,I love it,A home office,90
Israel,35-39,1,Manager of Developers or Team Leader,,Software Products,Never,,,52
Israel,20-24,1,Full-Stack Web Developer,Rather not say,Foundation / Non-Profit,Never,,,44
India,20-24,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,37
Netherlands,35-39,1,Full-Stack Web Developer,"$40,000 - $60,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
United Kingdom,< 20,1,Mobile Application Developer,"$120,000 - $140,000",Healthcare,Occasionally,"I like it, though I like visiting the office occasionally",My couch,74
India,,,,,,,,,0
Sri Lanka,20-24,1,Mobile Application Developer,Student / Unemployed,Software Products,Full-time Remote,I love it,A co-working space,41
Germany,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Education,Never,,,36
Switzerland,30-34,1,Desktop Software Developer,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,53
Indonesia,35-39,1,Manager of Developers or Team Leader,"<$20,000",Finance / Banking,Occasionally,I'm neutral about it,My couch,74
United Kingdom,20-24,NA,Full-Stack Web Developer,Rather not say,Not Currently Employed,Never,,,0
Finland,< 20,1,Student,Student / Unemployed,Not Currently Employed,Never,,,0
United States,20-24,1,Front-End Web Developer,"$60,000 - $80,000",Manufacturing,Occasionally,"I like it, though I like visiting the office occasionally",My couch,52
Russia,,,,,,,,,0
Australia,25-29,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Other,Never,,,47
Belgium,20-24,1,Front-End Web Developer,"$20,000 - $40,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,57
United Kingdom,25-29,1,Full-Stack Web Developer,"$40,000 - $60,000",Software Products,Occasionally,I'm neutral about it,A home office,43
